regime_ma_length,ema_length,trail_atr_mult,risk_per_layer_pct,net_pnl_pct,cagr_pct,max_dd_pct,sharpe,total_trades,profit_factor
200,15,2.5,1.5,195.13521987132572,10.152639469415735,-15.433139197180843,0.8582646846441806,120,2.701477440298978
200,15,3.0,0.5,67.11539028578345,4.694971086493838,-7.542567671407509,0.8681400225441797,103,3.971844022875678
200,15,3.0,1.0,161.21815527441714,8.957704332299055,-12.087496075118146,0.9048857199201178,103,3.6412908425441435
200,15,3.0,1.5,287.80759408946784,12.873248487948597,-15.256979565224583,0.9283391805259658,103,3.3534687480393397
200,21,2.0,0.5,18.967540502401913,1.5638835361675874,-3.7764459508562704,0.6933229741666556,110,2.0908802002738773
200,21,2.0,1.0,40.52579012820788,3.086439349481074,-7.380338839854246,0.6948020221449048,110,2.0188525605859633
200,21,2.0,1.5,64.83591075344492,4.5665794098963985,-10.843872599937706,0.6975495113158289,110,1.954973059986266
200,21,2.5,0.5,24.546862395791756,1.9806290229154255,-4.67221507209805,0.6967695049327001,104,2.306132864496932
200,21,2.5,1.0,52.60058791479442,3.84848671124165,-9.133221804279044,0.6958548878154448,104,2.2038153791941393
200,21,2.5,1.5,84.33988672446418,5.616617416427738,-13.400157562234268,0.6967212488420674,104,2.119974588072497
200,21,3.0,0.5,27.056559999226753,2.162571204212105,-4.161789202403361,0.6712686705866103,92,2.498003025522615
200,21,3.0,1.0,58.665993600788234,4.210769979672557,-8.084993633974143,0.6743091065791285,92,2.395396627491201
200,21,3.0,1.5,95.11714806509806,6.154152783236921,-11.712516408197219,0.6788374564122083,92,2.310821291963904
200,30,2.0,0.5,11.20213505692246,0.9531938847871846,-3.9448344377754805,0.4401628794150995,96,1.6511340512401727
200,30,2.0,1.0,23.104735340745624,1.874564930817657,-7.701901154144221,0.44400761986755055,96,1.6259783114397932
200,30,2.0,1.5,35.57486453455652,2.7566165268972487,-11.269908930912012,0.4477470247384451,96,1.6016291236925613
200,30,2.5,0.5,16.544913805606686,1.3773583559688163,-4.453035921699609,0.5135341978656954,94,1.813011560006697
200,30,2.5,1.0,34.13696096878767,2.6587698316233643,-8.72470957623282,0.5121890915194263,94,1.7536686590247141
200,30,2.5,1.5,52.413058965857495,3.837078048229947,-12.761490443451365,0.510578177485091,94,1.7015925790269324
200,30,3.0,0.5,19.92350950776883,1.6365359703665705,-5.8610238558377,0.5136139722945784,88,1.9417934727761301
200,30,3.0,1.0,41.53137675901697,3.1521345150023805,-11.430145255863739,0.5150707692735823,88,1.8701332852249337
200,30,3.0,1.5,64.68996913647413,4.5583042822147535,-16.66117765555828,0.5180798350090096,88,1.8115778758747172
250,15,2.0,0.5,37.20046524772269,2.866103974204859,-5.472130812968383,0.8771416297194292,129,2.766140609629106
250,15,2.0,1.0,85.72092156834444,5.68707373777706,-10.687996877797909,0.88991617794232,129,2.6170688086147518
250,15,2.0,1.5,147.92474957171407,8.450422158341153,-15.545230745451393,0.9018071054483157,129,2.4800050886429905
250,15,2.5,0.5,49.798745251674994,3.6766858388641355,-6.484468259316454,0.8470314651272591,118,3.324801293536295
250,15,2.5,1.0,118.31999461578411,7.225219400915317,-11.358691108171687,0.8736673486817539,118,3.0889508142638813
250,15,2.5,1.5,210.6426957686762,10.657789908733516,-15.427609292523941,0.896330150884943,118,2.8822071822074853
250,15,3.0,0.5,70.91922207953105,4.905712724365485,-7.543438236106213,0.9046420203234355,101,4.440783605324596
250,15,3.0,1.0,173.2241204198558,9.39604195421333,-12.080159586128866,0.9449498577838812,101,3.9929695737398907
250,15,3.0,1.5,315.57814835077875,13.57289128879855,-15.264794850751562,0.9719787422753133,101,3.6277550063173734
250,21,2.0,0.5,20.72199609740867,1.6968168265554917,-3.6201808646655724,0.7622076246166697,106,2.316320491588211
250,21,2.0,1.0,44.868987422578066,3.3671756858746127,-7.158374527112894,0.7654480895942489,106,2.215443566946372
250,21,2.0,1.5,72.53567980674913,4.9939778105015264,-10.56323113004195,0.7685115088816729,106,2.123442413525011
250,21,2.5,0.5,23.733658167516115,1.9209586892407815,-4.117828619701465,0.7090396187612227,100,2.4091637668095425
250,21,2.5,1.0,51.206032278783155,3.7633389834822673,-8.104072781897305,0.7107110406024499,100,2.2864932282310457
250,21,2.5,1.5,82.37872969809513,5.515734497144242,-11.909116766233248,0.7116129938584089,100,2.17724121346701
250,21,3.0,0.5,27.14678936611932,2.1690513023146396,-3.6339159226753375,0.6979534399928236,88,2.6932050461804313
250,21,3.0,1.0,59.39574154941324,4.2535039446573775,-7.0245613037825905,0.7029143515702474,88,2.5490844977512177
250,21,3.0,1.5,97.10136274765755,6.250160671544602,-10.322621372451884,0.708402755316521,88,2.4293594881830867
250,30,2.0,0.5,13.167353325863019,1.111328672281231,-4.1513352260763545,0.5247383944905668,89,1.8756394795817317
250,30,2.0,1.0,27.424115555207113,2.1889421483211935,-8.110383797463037,0.5277295558264532,89,1.8300229909184678
250,30,2.0,1.5,42.862721330513445,3.2384606467027677,-11.866179447229273,0.532709870159867,89,1.791326244004953
250,30,2.5,0.5,16.338664868584413,1.3613159720577084,-4.661055064089676,0.5337294369758993,87,1.9170573613393191
250,30,2.5,1.0,33.65428669710216,2.6257105286233706,-9.096754491128456,0.5310298364668388,87,1.8309013649928056
250,30,2.5,1.5,52.081872586040056,3.8168984665358563,-13.343051899541877,0.5314121025913587,87,1.7637408119691431
250,30,3.0,0.5,19.897424110902023,1.6345605236126826,-6.0790688430845545,0.5319573641855636,81,2.0742448307907417
250,30,3.0,1.0,41.728993121250994,3.1649948350391366,-11.82902631258387,0.5351845275136626,81,1.973350440631113
250,30,3.0,1.5,65.47401533748929,4.6026827994759545,-17.22416153900689,0.539709711915538,81,1.8934742005628173
